nom;latitude;longitude
vouecourt;48.267222;5.136111
clairvaux d12;48.146111;4.793056
bayel eglise;48.198889;4.776111
jessains eglise;48.296944;4.577778
vauchonvilliers mairie;48.265556;4.526111
la villeneuve au chene rn19;48.237222;4.386389
montieramey eglise;48.230833;4.307778
lusigny sur barse rn19;48.253611;4.260833
montaulin mairie;48.252222;4.193889
rouilly saint loup la guerade;48.268333;4.136667
tours lycee grandmont;47.360294;0.700027
bridore carrefour 943;47.033056;1.095556
dunkerque;51.030304;2.368379
croix l allumette;50.686915;3.151213
calais   frethun;50.901934;1.811456
bergues;50.968464;2.425767
esquelbecq;50.889757;2.412136
arneke;50.831522;2.408285
cassel;50.787626;2.4599
gravelines;50.978495;2.125939
bourbourg;50.95274;2.195028
grande synthe;51.002306;2.312149
coudekerque branche;51.018027;2.374986
pont d ardres;50.892159;1.970818
audruicq;50.875346;2.077352
watten   eperlecques;50.825554;2.207888
saint omer;50.753822;2.267182
renescure;50.732021;2.371832
ebblinghem;50.730859;2.408814
perrigny sur loire;46.530556;3.846111
lyon jean mace;45.744976;4.841731
lille flandres;50.63646;3.07084
hellemmes;50.622673;3.115587
haubourdin;50.607082;2.990487
loos lez lille;50.612806;3.017084
armentieres;50.680466;2.8775
steenwerck;50.713213;2.786239
bailleul;50.728997;2.734061
la madeleine;50.660734;3.072552
saint andre;50.654483;3.047646
strazeele;50.713499;2.63085
wambrechies;50.681265;3.040297
quesnoy sur deule;50.708053;2.995483
comines;50.760851;3.009753
perenchies;50.667007;2.977158
hazebrouck;50.725156;2.542448
santes;50.591847;2.962538
wavrin;50.574473;2.936252
la fontaine;50.565296;2.925458
don   sainghin;50.551891;2.914149
phalempin;50.515045;3.019891
seclin;50.548286;3.034923
wattignies   templemars;50.579279;3.051635
ronchin;50.604408;3.078389
tourcoing;50.716289;3.167475
rosult;50.456368;3.349013
landas;50.468917;3.290079
orchies;50.477295;3.249404
nomain;50.502545;3.206436
templeuve;50.528751;3.175789
fretin;50.559905;3.14952
croix   wasquehal;50.678638;3.137919
roubaix;50.695544;3.162955
